organizations,iso2_code,year,quarter
13512,CZ,2021,1
12563,AT,2021,1
12046,DZ,2021,1
11308,NZ,2021,1
11172,FI,2021,1
10565,BG,2021,1
9923,TN,2021,1
9881,HU,2021,1
9812,LK,2021,1
9780,IE,2021,1
9534,AE,2021,1
9355,KE,2021,1
8603,VE,2021,1
8260,BY,2021,1
8235,GR,2021,1
7238,IQ,2021,1
7227,NP,2021,1
6614,EC,2021,1
6274,RS,2021,1
6116,MM,2021,1
5957,KH,2021,1
5209,GH,2021,1
5092,KZ,2021,1
4491,SK,2021,1
4361,LT,2021,1
4353,CR,2021,1
4276,DO,2021,1
4071,JO,2021,1
3714,HR,2021,1
3300,BO,2021,1
3245,EE,2021,1
3112,GE,2021,1
3095,AZ,2021,1
3026,PS,2021,1
3000,UY,2021,1
2951,LV,2021,1
2950,AL,2021,1
2765,LB,2021,1
2733,UZ,2021,1
2728,SI,2021,1
2716,GT,2021,1
2539,UG,2021,1
2508,AM,2021,1
2482,CM,2021,1
2404,CI,2021,1
2327,TZ,2021,1
2319,MD,2021,1
2165,ET,2021,1
2158,SV,2021,1
2117,KW,2021,1
1957,BA,2021,1
1784,IS,2021,1
1763,MN,2021,1
1734,SN,2021,1
1647,QA,2021,1
1578,YE,2021,1
1562,PA,2021,1
1524,MK,2021,1
1387,HN,2021,1
1379,PR,2021,1
1373,CY,2021,1
1357,LU,2021,1
1317,AO,2021,1
1259,PY,2021,1
1229,SD,2021,1
1220,ZW,2021,1
1205,OM,2021,1
1204,RW,2021,1
1142,KG,2021,1
1139,LY,2021,1
1070,CU,2021,1
1040,SY,2021,1
1001,NI,2021,1
993,MG,2021,1
946,JM,2021,1
918,BH,2021,1
898,CD,2021,1
888,BJ,2021,1
884,MT,2021,1
870,MU,2021,1
840,LA,2021,1
785,MZ,2021,1
753,ZM,2021,1
753,HT,2021,1
720,AF,2021,1
650,TT,2021,1
635,SO,2021,1
611,MO,2021,1
587,TG,2021,1
505,RE,2021,1
395,MV,2021,1
379,BW,2021,1
359,BN,2021,1
358,BF,2021,1
355,ME,2021,1
312,MW,2021,1
303,TJ,2021,1
282,ML,2021,1
250,BT,2021,1
241,GN,2021,1
234,NA,2021,1
230,SL,2021,1
201,BS,2021,1
193,GP,2021,1
191,BB,2021,1
187,MR,2021,1
181,LR,2021,1
176,CV,2021,1
161,GA,2021,1
159,CG,2021,1
156,MQ,2021,1
148,GM,2021,1
144,SR,2021,1
139,BM,2021,1
136,CW,2021,1
133,JE,2021,1
132,IM,2021,1
126,PG,2021,1
124,FJ,2021,1
123,TM,2021,1
123,PF,2021,1
122,BI,2021,1
119,AD,2021,1
117,NC,2021,1
117,GY,2021,1
117,NE,2021,1
110,LS,2021,1
101,DJ,2021,1
101,BZ,2021,1
101,KY,2021,1
785410,US,2021,2
599362,EU,2021,2
411874,CN,2021,2
339038,IN,2021,2
161359,BR,2021,2
129347,GB,2021,2
119643,DE,2021,2
118102,ID,2021,2
96617,JP,2021,2
96343,CA,2021,2
95299,FR,2021,2
88827,KR,2021,2
88276,RU,2021,2
69750,VN,2021,2
58676,TR,2021,2
54635,ES,2021,2
53875,AU,2021,2
51093,NL,2021,2
50046,HK,2021,2
47614,MX,2021,2
41676,PL,2021,2
41325,UA,2021,2
37765,IT,2021,2
36861,TH,2021,2
33629,PH,2021,2
32214,PK,2021,2
31977,TW,2021,2
31733,BD,2021,2
29498,SG,2021,2
29083,CO,2021,2
28263,SE,2021,2
26732,EG,2021,2
26156,NG,2021,2
24599,AR,2021,2
23879,IR,2021,2
22289,MY,2021,2
21041,CH,2021,2
20521,SA,2021,2
20163,MA,2021,2
19118,ZA,2021,2
18547,BE,2021,2
18460,IL,2021,2
17046,RO,2021,2
16576,PE,2021,2
15492,CL,2021,2
15458,DK,2021,2
14686,PT,2021,2
14443,NO,2021,2
14121,CZ,2021,2
13196,AT,2021,2
12298,DZ,2021,2
11927,NZ,2021,2
11714,FI,2021,2
10854,BG,2021,2
10646,LK,2021,2
10302,HU,2021,2
10246,TN,2021,2
10097,IE,2021,2
10061,KE,2021,2
10056,AE,2021,2
8743,VE,2021,2
8686,GR,2021,2
8559,BY,2021,2
7784,NP,2021,2
7407,IQ,2021,2
7020,EC,2021,2
6523,RS,2021,2
6185,KH,2021,2
5882,MM,2021,2
5559,GH,2021,2
5331,KZ,2021,2
4672,SK,2021,2
4646,CR,2021,2
4557,JO,2021,2
4508,LT,2021,2
4429,DO,2021,2
3941,HR,2021,2
3463,BO,2021,2
3385,EE,2021,2
3277,UY,2021,2
3249,GE,2021,2
3226,AZ,2021,2
3181,PS,2021,2
3099,UZ,2021,2
3050,LV,2021,2
3049,AL,2021,2
2993,LB,2021,2
2862,GT,2021,2
2853,SI,2021,2
2733,UG,2021,2
2694,AM,2021,2
2633,CM,2021,2
2502,CI,2021,2
2446,TZ,2021,2
2416,ET,2021,2
2402,MD,2021,2
2253,SV,2021,2
2203,KW,2021,2
2098,BA,2021,2
1848,IS,2021,2
1847,MN,2021,2
1821,SN,2021,2
1719,QA,2021,2
1649,YE,2021,2
1642,PA,2021,2
1589,MK,2021,2
1460,HN,2021,2
1454,CY,2021,2
1441,LU,2021,2
1408,AO,2021,2
1406,PR,2021,2
1328,ZW,2021,2
1320,PY,2021,2
1302,RW,2021,2
1290,SD,2021,2
1243,OM,2021,2
1192,KG,2021,2
1164,LY,2021,2
1151,CU,2021,2
1102,SY,2021,2
1088,MG,2021,2
1088,NI,2021,2
1016,JM,2021,2
984,CD,2021,2
977,MT,2021,2
963,BH,2021,2
954,BJ,2021,2
910,MU,2021,2
873,LA,2021,2
848,MZ,2021,2
832,ZM,2021,2
755,HT,2021,2
755,AF,2021,2
684,TT,2021,2
649,SO,2021,2
640,MO,2021,2
626,TG,2021,2
522,RE,2021,2
431,BW,2021,2
425,MV,2021,2
386,BF,2021,2
373,ME,2021,2
373,BN,2021,2
347,MW,2021,2
315,TJ,2021,2
304,NA,2021,2
291,ML,2021,2
274,BT,2021,2
242,GN,2021,2
237,SL,2021,2
211,BS,2021,2
209,MR,2021,2
198,GP,2021,2
198,BB,2021,2
190,LR,2021,2
189,CV,2021,2
171,GA,2021,2
167,CG,2021,2
165,MQ,2021,2
154,SR,2021,2
154,GM,2021,2
145,JE,2021,2
142,CW,2021,2
138,BM,2021,2
137,IM,2021,2
136,BI,2021,2
135,TM,2021,2
134,PF,2021,2
133,FJ,2021,2
129,GY,2021,2
128,NC,2021,2
125,PG,2021,2
121,KY,2021,2
120,NE,2021,2
117,AD,2021,2
115,LS,2021,2
113,BZ,2021,2
106,DJ,2021,2
815874,US,2021,3
622978,EU,2021,3
412702,CN,2021,3
353548,IN,2021,3
167414,BR,2021,3
134046,GB,2021,3
124775,DE,2021,3
123735,ID,2021,3
100735,JP,2021,3
100191,CA,2021,3
98866,FR,2021,3
94556,KR,2021,3
92144,RU,2021,3
72385,VN,2021,3
59912,TR,2021,3
56627,AU,2021,3
56541,ES,2021,3
56218,HK,2021,3
53170,NL,2021,3
49540,MX,2021,3
43449,PL,2021,3
42869,UA,2021,3
39227,IT,2021,3
37902,TH,2021,3
34626,PH,2021,3
33275,PK,2021,3
33185,TW,2021,3
32629,BD,2021,3
31313,SG,2021,3
30496,CO,2021,3
29152,SE,2021,3
27867,EG,2021,3
27375,NG,2021,3
25539,AR,2021,3
24594,IR,2021,3
23005,MY,2021,3
21993,CH,2021,3
20939,SA,2021,3
20515,MA,2021,3
20100,ZA,2021,3
19347,IL,2021,3
19260,BE,2021,3
17838,RO,2021,3
17069,PE,2021,3
16086,DK,2021,3
15966,CL,2021,3
15253,PT,2021,3
15060,NO,2021,3
14681,CZ,2021,3
13755,AT,2021,3
12571,NZ,2021,3
12467,DZ,2021,3
12244,FI,2021,3
11444,LK,2021,3
11141,BG,2021,3
10716,HU,2021,3
10494,KE,2021,3
10440,TN,2021,3
10351,IE,2021,3
10347,AE,2021,3
9123,GR,2021,3
8876,VE,2021,3
8739,BY,2021,3
8178,NP,2021,3
7598,IQ,2021,3
7177,EC,2021,3
6791,RS,2021,3
6306,KH,2021,3
5894,MM,2021,3
5844,GH,2021,3
5458,KZ,2021,3
4873,SK,2021,3
4857,CR,2021,3
4692,LT,2021,3
4667,JO,2021,3
4553,DO,2021,3
4150,HR,2021,3
3584,BO,2021,3
3549,EE,2021,3
3462,UY,2021,3
3419,GE,2021,3
3333,AZ,2021,3
3300,UZ,2021,3
3264,PS,2021,3
3148,LV,2021,3
3054,AL,2021,3
3029,LB,2021,3
3004,GT,2021,3
2954,SI,2021,3
2880,UG,2021,3
2808,AM,2021,3
2761,CM,2021,3
2662,ET,2021,3
2577,CI,2021,3
2538,TZ,2021,3
2483,MD,2021,3
2345,SV,2021,3
2242,KW,2021,3
2166,BA,2021,3
1911,MN,2021,3
1875,IS,2021,3
1870,SN,2021,3
1755,QA,2021,3
1705,YE,2021,3
1699,PA,2021,3
1646,MK,2021,3
1520,CY,2021,3
1518,HN,2021,3
1470,AO,2021,3
1456,LU,2021,3
1453,PR,2021,3
1399,ZW,2021,3
1386,PY,2021,3
1374,RW,2021,3
1345,SD,2021,3
1264,OM,2021,3
1254,KG,2021,3
1187,LY,2021,3
1157,MG,2021,3
1155,CU,2021,3
1113,SY,2021,3
1096,NI,2021,3
1050,JM,2021,3
1046,CD,2021,3
1008,MT,2021,3
997,BH,2021,3
986,BJ,2021,3
920,MU,2021,3
896,LA,2021,3
891,ZM,2021,3
888,MZ,2021,3
789,AF,2021,3
754,HT,2021,3
709,TT,2021,3
684,SO,2021,3
657,TG,2021,3
625,MO,2021,3
537,RE,2021,3
457,MV,2021,3
441,BW,2021,3
408,ME,2021,3
403,BF,2021,3
374,BN,2021,3
373,MW,2021,3
333,TJ,2021,3
327,NA,2021,3
306,ML,2021,3
274,BT,2021,3
247,SL,2021,3
246,GN,2021,3
219,MR,2021,3
207,GP,2021,3
203,BS,2021,3
195,LR,2021,3
194,CV,2021,3
189,BB,2021,3
181,CG,2021,3
173,IM,2021,3
173,GA,2021,3
168,MQ,2021,3
165,SR,2021,3
165,JE,2021,3
163,BM,2021,3
155,GM,2021,3
149,AD,2021,3
143,BI,2021,3
138,CW,2021,3
136,FJ,2021,3
135,NC,2021,3
134,PF,2021,3
133,GY,2021,3
128,TM,2021,3
128,PG,2021,3
124,LS,2021,3
123,NE,2021,3
111,BZ,2021,3
106,DJ,2021,3
103,KY,2021,3
847484,US,2021,4
651469,EU,2021,4
410324,CN,2021,4
365298,IN,2021,4
171435,BR,2021,4
139732,GB,2021,4
130488,DE,2021,4
128317,ID,2021,4
105392,JP,2021,4
104839,CA,2021,4
103247,FR,2021,4
99626,KR,2021,4
95789,RU,2021,4
75134,VN,2021,4
61857,TR,2021,4
61049,HK,2021,4
59228,ES,2021,4
58582,AU,2021,4
55325,NL,2021,4
50757,MX,2021,4
45769,PL,2021,4
43972,UA,2021,4
40828,IT,2021,4
38823,TH,2021,4
35578,PH,2021,4
34351,PK,2021,4
34200,TW,2021,4
34174,BD,2021,4
33286,SG,2021,4
31921,CO,2021,4
30463,SE,2021,4
28550,NG,2021,4
28452,EG,2021,4
26496,AR,2021,4
25682,IR,2021,4
23645,MY,2021,4
23153,CH,2021,4
21415,SA,2021,4
20844,MA,2021,4
20773,ZA,2021,4
20531,IL,2021,4
20185,BE,2021,4
18519,RO,2021,4
17592,PE,2021,4
17037,DK,2021,4
16493,CL,2021,4
16162,PT,2021,4
15659,NO,2021,4
15416,CZ,2021,4
14461,AT,2021,4
13041,NZ,2021,4
12871,FI,2021,4
12598,DZ,2021,4
12046,LK,2021,4
11459,BG,2021,4
11184,HU,2021,4
10899,KE,2021,4
10777,AE,2021,4
10775,IE,2021,4
10756,TN,2021,4
9291,GR,2021,4
8971,VE,2021,4
8930,BY,2021,4
8329,NP,2021,4
7746,IQ,2021,4
7344,EC,2021,4
7237,RS,2021,4
6405,KH,2021,4
6093,GH,2021,4
6003,MM,2021,4
5600,KZ,2021,4
5056,SK,2021,4
4993,CR,2021,4
4938,JO,2021,4
4932,LT,2021,4
